Date,Interest_Rate,Inflation_Rate
1954-07-01,0.8,26.86
1954-08-01,1.22,26.85
1954-09-01,1.07,26.81
1954-10-01,0.85,26.72
1954-11-01,0.83,26.78
1954-12-01,1.28,26.77
1955-01-01,1.39,26.77
1955-02-01,1.29,26.82
1955-03-01,1.35,26.79
1955-04-01,1.43,26.79
1955-05-01,1.43,26.77
1955-06-01,1.64,26.71
1955-07-01,1.68,26.76
1955-08-01,1.96,26.72
1955-09-01,2.18,26.85
1955-10-01,2.24,26.82
1955-11-01,2.35,26.88
1955-12-01,2.48,26.87
1956-01-01,2.45,26.83
1956-02-01,2.5,26.86
1956-03-01,2.5,26.89
1956-04-01,2.62,26.93
1956-05-01,2.75,27.03
1956-06-01,2.71,27.15
1956-07-01,2.75,27.29
1956-08-01,2.73,27.31
1956-09-01,2.95,27.35
1956-10-01,2.96,27.51
1956-11-01,2.88,27.51
1956-12-01,2.94,27.63
1957-01-01,2.84,27.67
1957-02-01,3.0,27.8
1957-03-01,2.96,27.86
1957-04-01,3.0,27.93
1957-05-01,3.0,28.0
1957-06-01,3.0,28.11
1957-07-01,2.99,28.19
1957-08-01,3.24,28.28
1957-09-01,3.47,28.32
1957-10-01,3.5,28.32
1957-11-01,3.28,28.41
1957-12-01,2.98,28.47
1958-01-01,2.72,28.64
1958-02-01,1.67,28.7
1958-03-01,1.2,28.87
1958-04-01,1.26,28.94
1958-05-01,0.63,28.94
1958-06-01,0.93,28.91
1958-07-01,0.68,28.89
1958-08-01,1.53,28.94
1958-09-01,1.76,28.91
1958-10-01,1.8,28.91
1958-11-01,2.27,28.95
1958-12-01,2.42,28.97
1959-01-01,2.48,29.01
1959-02-01,2.43,29.0
1959-03-01,2.8,28.97
1959-04-01,2.96,28.98
1959-05-01,2.9,29.04
1959-06-01,3.39,29.11
1959-07-01,3.47,29.15
1959-08-01,3.5,29.18
1959-09-01,3.76,29.25
1959-10-01,3.98,29.35
1959-11-01,4.0,29.35
1959-12-01,3.99,29.41
1960-01-01,3.99,29.37
1960-02-01,3.97,29.41
1960-03-01,3.84,29.41
1960-04-01,3.92,29.54
1960-05-01,3.85,29.57
1960-06-01,3.32,29.61
1960-07-01,3.23,29.55
1960-08-01,2.98,29.61
1960-09-01,2.6,29.61
1960-10-01,2.47,29.75
1960-11-01,2.44,29.78
1960-12-01,1.98,29.81
1961-01-01,1.45,29.84
1961-02-01,2.54,29.84
1961-03-01,2.02,29.84
1961-04-01,1.49,29.81
1961-05-01,1.98,29.84
1961-06-01,1.73,29.84
1961-07-01,1.17,29.92
1961-08-01,2.0,29.94
1961-09-01,1.88,29.98
1961-10-01,2.26,29.98
1961-11-01,2.61,29.98
1961-12-01,2.33,30.01
1962-01-01,2.15,30.04
1962-02-01,2.37,30.11
1962-03-01,2.85,30.17
1962-04-01,2.78,30.21
1962-05-01,2.36,30.24
1962-06-01,2.68,30.21
1962-07-01,2.71,30.22
1962-08-01,2.93,30.28
1962-09-01,2.9,30.42
1962-10-01,2.9,30.38
1962-11-01,2.94,30.38
1962-12-01,2.93,30.38
1963-01-01,2.92,30.44
1963-02-01,3.0,30.48
1963-03-01,2.98,30.51
1963-04-01,2.9,30.48
1963-05-01,3.0,30.51
1963-06-01,2.99,30.61
1963-07-01,3.02,30.69
1963-08-01,3.49,30.75
1963-09-01,3.48,30.72
1963-10-01,3.5,30.75
1963-11-01,3.48,30.78
1963-12-01,3.38,30.88
1964-01-01,3.48,30.94
1964-02-01,3.48,30.91
1964-03-01,3.43,30.94
1964-04-01,3.47,30.95
1964-05-01,3.5,30.98
1964-06-01,3.5,31.01
1964-07-01,3.42,31.02
1964-08-01,3.5,31.05
1964-09-01,3.45,31.08
1964-10-01,3.36,31.12
1964-11-01,3.52,31.21
1964-12-01,3.85,31.25
1965-01-01,3.9,31.28
1965-02-01,3.98,31.28
1965-03-01,4.05,31.31
1965-04-01,4.09,31.38
1965-05-01,4.1,31.48
1965-06-01,4.05,31.61
1965-07-01,4.09,31.58
1965-08-01,4.12,31.55
1965-09-01,4.02,31.62
1965-10-01,4.08,31.65
1965-11-01,4.1,31.75
1965-12-01,4.32,31.85
1966-01-01,4.42,31.88
1966-02-01,4.6,32.08
1966-03-01,4.66,32.18
1966-04-01,4.67,32.28
1966-05-01,4.9,32.35
1966-06-01,5.17,32.38
1966-07-01,5.3,32.45
1966-08-01,5.53,32.65
1966-09-01,5.4,32.75
1966-10-01,5.53,32.85
1966-11-01,5.76,32.88
1966-12-01,5.4,32.92
1967-01-01,4.94,32.9
1967-02-01,5.0,33.0
1967-03-01,4.53,33.0
1967-04-01,4.05,33.1
1967-05-01,3.94,33.1
1967-06-01,3.98,33.3
1967-07-01,3.79,33.4
1967-08-01,3.9,33.5
1967-09-01,3.99,33.6
1967-10-01,3.88,33.7
1967-11-01,4.13,33.9
1967-12-01,4.51,34.0
1968-01-01,4.61,34.1
1968-02-01,4.71,34.2
1968-03-01,5.05,34.3
1968-04-01,5.76,34.4
1968-05-01,6.12,34.5
1968-06-01,6.07,34.7
1968-07-01,6.03,34.9
1968-08-01,6.03,35.0
1968-09-01,5.78,35.1
1968-10-01,5.91,35.3
1968-11-01,5.82,35.4
1968-12-01,6.02,35.6
1969-01-01,6.3,35.7
1969-02-01,6.61,35.8
1969-03-01,6.79,36.1
1969-04-01,7.41,36.3
1969-05-01,8.67,36.4
1969-06-01,8.9,36.6
1969-07-01,8.61,36.8
1969-08-01,9.19,36.9
1969-09-01,9.15,37.1
1969-10-01,9.0,37.3
1969-11-01,8.85,37.5
1969-12-01,8.97,37.7
1970-01-01,8.98,37.9
1970-02-01,8.98,38.1
1970-03-01,7.76,38.3
1970-04-01,8.1,38.5
1970-05-01,7.95,38.6
1970-06-01,7.61,38.8
1970-07-01,7.21,38.9
1970-08-01,6.62,39.0
1970-09-01,6.29,39.2
1970-10-01,6.2,39.4
1970-11-01,5.6,39.6
1970-12-01,4.9,39.8
1971-01-01,4.14,39.9
1971-02-01,3.72,39.9
1971-03-01,3.71,40.0
1971-04-01,4.16,40.1
1971-05-01,4.63,40.3
1971-06-01,4.91,40.5
1971-07-01,5.31,40.6
1971-08-01,5.57,40.7
1971-09-01,5.55,40.8
1971-10-01,5.2,40.9
1971-11-01,4.91,41.0
1971-12-01,4.14,41.1
1972-01-01,3.51,41.2
1972-02-01,3.3,41.4
1972-03-01,3.83,41.4
1972-04-01,4.17,41.5
1972-05-01,4.27,41.6
1972-06-01,4.46,41.7
1972-07-01,4.55,41.8
1972-08-01,4.81,41.9
1972-09-01,4.87,42.1
1972-10-01,5.05,42.2
1972-11-01,5.06,42.4
1972-12-01,5.33,42.5
1973-01-01,5.94,42.7
1973-02-01,6.58,43.0
1973-03-01,7.09,43.4
1973-04-01,7.12,43.7
1973-05-01,7.84,43.9
1973-06-01,8.49,44.2
1973-07-01,10.4,44.2
1973-08-01,10.5,45.0
1973-09-01,10.78,45.2
1973-10-01,10.01,45.6
1973-11-01,10.03,45.9
1973-12-01,9.95,46.3
1974-01-01,9.65,46.8
1974-02-01,8.97,47.3
1974-03-01,9.35,47.8
1974-04-01,10.51,48.1
1974-05-01,11.31,48.6
1974-06-01,11.93,49.0
1974-07-01,12.92,49.3
1974-08-01,12.01,49.9
1974-09-01,11.34,50.6
1974-10-01,10.06,51.0
1974-11-01,9.45,51.5
1974-12-01,8.53,51.9
1975-01-01,7.13,52.3
1975-02-01,6.24,52.6
1975-03-01,5.54,52.8
1975-04-01,5.49,53.0
1975-05-01,5.22,53.1
1975-06-01,5.55,53.5
1975-07-01,6.1,54.0
1975-08-01,6.14,54.2
1975-09-01,6.24,54.6
1975-10-01,5.82,54.9
1975-11-01,5.22,55.3
1975-12-01,5.2,55.6
1976-01-01,4.87,55.8
1976-02-01,4.77,55.9
1976-03-01,4.84,56.0
1976-04-01,4.82,56.1
1976-05-01,5.29,56.4
1976-06-01,5.48,56.7
1976-07-01,5.31,57.0
1976-08-01,5.29,57.3
1976-09-01,5.25,57.6
1976-10-01,5.02,57.9
1976-11-01,4.95,58.1
1976-12-01,4.65,58.4
1977-01-01,4.61,58.7
1977-02-01,4.68,59.3
1977-03-01,4.69,59.6
1977-04-01,4.73,60.0
1977-05-01,5.35,60.2
1977-06-01,5.39,60.5
1977-07-01,5.42,60.8
1977-08-01,5.9,61.1
1977-09-01,6.14,61.3
1977-10-01,6.47,61.6
1977-11-01,6.51,62.0
1977-12-01,6.56,62.3
1978-01-01,6.7,62.7
1978-02-01,6.78,63.0
1978-03-01,6.79,63.4
1978-04-01,6.89,63.9
1978-05-01,7.36,64.5
1978-06-01,7.6,65.0
1978-07-01,7.81,65.5
1978-08-01,8.04,65.9
1978-09-01,8.45,66.5
1978-10-01,8.96,67.1
1978-11-01,9.76,67.5
1978-12-01,10.03,67.9
1979-01-01,10.07,68.5
1979-02-01,10.06,69.2
1979-03-01,10.09,69.9
1979-04-01,10.01,70.6
1979-05-01,10.24,71.4
1979-06-01,10.29,72.2
1979-07-01,10.47,73.0
1979-08-01,10.94,73.7
1979-09-01,11.43,74.4
1979-10-01,13.77,75.2
1979-11-01,13.18,76.0
1979-12-01,13.78,76.9
1980-01-01,13.82,78.0
1980-02-01,14.13,79.0
1980-03-01,17.19,80.1
1980-04-01,17.61,80.9
1980-05-01,10.98,81.7
1980-06-01,9.47,82.5
1980-07-01,9.03,82.6
1980-08-01,9.61,83.2
1980-09-01,10.87,83.9
1980-10-01,12.81,84.7
1980-11-01,15.85,85.6
1980-12-01,18.9,86.4
1981-01-01,19.08,87.2
1981-02-01,15.93,88.0
1981-03-01,14.7,88.6
1981-04-01,15.72,89.1
1981-05-01,18.52,89.7
1981-06-01,19.1,90.5
1981-07-01,19.04,91.5
1981-08-01,17.82,92.2
1981-09-01,15.87,93.1
1981-10-01,15.08,93.4
1981-11-01,13.31,93.8
1981-12-01,12.37,94.1
1982-01-01,13.22,94.4
1982-02-01,14.78,94.7
1982-03-01,14.68,94.7
1982-04-01,14.94,95.0
1982-05-01,14.45,95.9
1982-06-01,14.15,97.0
1982-07-01,12.59,97.5
1982-08-01,10.12,97.7
1982-09-01,10.31,97.7
1982-10-01,9.71,98.1
1982-11-01,9.2,98.0
1982-12-01,8.95,97.7
1983-01-01,8.68,97.9
1983-02-01,8.51,98.0
1983-03-01,8.77,98.1
1983-04-01,8.8,98.8
1983-05-01,8.63,99.2
1983-06-01,8.98,99.4
1983-07-01,9.37,99.8
1983-08-01,9.56,100.1
1983-09-01,9.45,100.4
1983-10-01,9.48,100.8
1983-11-01,9.34,101.1
1983-12-01,9.47,101.4
1984-01-01,9.56,102.1
1984-02-01,9.59,102.6
1984-03-01,9.91,102.9
1984-04-01,10.29,103.3
1984-05-01,10.32,103.5
1984-06-01,11.06,103.7
1984-07-01,11.23,104.1
1984-08-01,11.64,104.4
1984-09-01,11.3,104.7
1984-10-01,9.99,105.1
1984-11-01,9.43,105.3
1984-12-01,8.38,105.5
1985-01-01,8.35,105.7
1985-02-01,8.5,106.3
1985-03-01,8.58,106.8
1985-04-01,8.27,107.0
1985-05-01,7.97,107.2
1985-06-01,7.53,107.5
1985-07-01,7.88,107.7
1985-08-01,7.9,107.9
1985-09-01,7.92,108.1
1985-10-01,7.99,108.5
1985-11-01,8.05,109.0
1985-12-01,8.27,109.5
1986-01-01,8.14,109.9
1986-02-01,7.86,109.7
1986-03-01,7.48,109.1
1986-04-01,6.99,108.7
1986-05-01,6.85,109.0
1986-06-01,6.92,109.4
1986-07-01,6.56,109.5
1986-08-01,6.17,109.6
1986-09-01,5.89,110.0
1986-10-01,5.85,110.2
1986-11-01,6.04,110.4
1986-12-01,6.91,110.8
1987-01-01,6.43,111.4
1987-02-01,6.1,111.8
1987-03-01,6.13,112.2
1987-04-01,6.37,112.7
1987-05-01,6.85,113.0
1987-06-01,6.73,113.5
1987-07-01,6.58,113.8
1987-08-01,6.73,114.3
1987-09-01,7.22,114.7
1987-10-01,7.29,115.0
1987-11-01,6.69,115.4
1987-12-01,6.77,115.6
1988-01-01,6.83,116.0
1988-02-01,6.58,116.2
1988-03-01,6.58,116.5
1988-04-01,6.87,117.2
1988-05-01,7.09,117.5
1988-06-01,7.51,118.0
1988-07-01,7.75,118.5
1988-08-01,8.01,119.0
1988-09-01,8.19,119.5
1988-10-01,8.3,119.9
1988-11-01,8.35,120.3
1988-12-01,8.76,120.7
1989-01-01,9.12,121.2
1989-02-01,9.36,121.6
1989-03-01,9.85,122.2
1989-04-01,9.84,123.1
1989-05-01,9.81,123.7
1989-06-01,9.53,124.1
1989-07-01,9.24,124.5
1989-08-01,8.99,124.5
1989-09-01,9.02,124.8
1989-10-01,8.84,125.4
1989-11-01,8.55,125.9
1989-12-01,8.45,126.3
1990-01-01,8.23,127.5
1990-02-01,8.24,128.0
1990-03-01,8.28,128.6
1990-04-01,8.26,128.9
1990-05-01,8.18,129.1
1990-06-01,8.29,129.9
1990-07-01,8.15,130.5
1990-08-01,8.13,131.6
1990-09-01,8.2,132.5
1990-10-01,8.11,133.4
1990-11-01,7.81,133.7
1990-12-01,7.31,134.2
1991-01-01,6.91,134.7
1991-02-01,6.25,134.8
1991-03-01,6.12,134.8
1991-04-01,5.91,135.1
1991-05-01,5.78,135.6
1991-06-01,5.9,136.0
1991-07-01,5.82,136.2
1991-08-01,5.66,136.6
1991-09-01,5.45,137.0
1991-10-01,5.21,137.2
1991-11-01,4.81,137.8
1991-12-01,4.43,138.2
1992-01-01,4.03,138.3
1992-02-01,4.06,138.6
1992-03-01,3.98,139.1
1992-04-01,3.73,139.4
1992-05-01,3.82,139.7
1992-06-01,3.76,140.1
1992-07-01,3.25,140.5
1992-08-01,3.3,140.8
1992-09-01,3.22,141.1
1992-10-01,3.1,141.7
1992-11-01,3.09,142.1
1992-12-01,2.92,142.3
1993-01-01,3.02,142.8
1993-02-01,3.03,143.1
1993-03-01,3.07,143.3
1993-04-01,2.96,143.8
1993-05-01,3.0,144.2
1993-06-01,3.04,144.3
1993-07-01,3.06,144.5
1993-08-01,3.03,144.8
1993-09-01,3.09,145.0
1993-10-01,2.99,145.6
1993-11-01,3.02,146.0
1993-12-01,2.96,146.3
1994-01-01,3.05,146.3
1994-02-01,3.25,146.7
1994-03-01,3.34,147.1
1994-04-01,3.56,147.2
1994-05-01,4.01,147.5
1994-06-01,4.25,147.9
1994-07-01,4.26,148.4
1994-08-01,4.47,149.0
1994-09-01,4.73,149.3
1994-10-01,4.76,149.4
1994-11-01,5.29,149.8
1994-12-01,5.45,150.1
1995-01-01,5.53,150.5
1995-02-01,5.92,150.9
1995-03-01,5.98,151.2
1995-04-01,6.05,151.8
1995-05-01,6.01,152.1
1995-06-01,6.0,152.4
1995-07-01,5.85,152.6
1995-08-01,5.74,152.9
1995-09-01,5.8,153.1
1995-10-01,5.76,153.5
1995-11-01,5.8,153.7
1995-12-01,5.6,153.9
1996-01-01,5.56,154.7
1996-02-01,5.22,155.0
1996-03-01,5.31,155.5
1996-04-01,5.22,156.1
1996-05-01,5.24,156.4
1996-06-01,5.27,156.7
1996-07-01,5.4,157.0
1996-08-01,5.22,157.2
1996-09-01,5.3,157.7
1996-10-01,5.24,158.2
1996-11-01,5.31,158.7
1996-12-01,5.29,159.1
1997-01-01,5.25,159.4
1997-02-01,5.19,159.7
1997-03-01,5.39,159.8
1997-04-01,5.51,159.9
1997-05-01,5.5,159.9
1997-06-01,5.56,160.2
1997-07-01,5.52,160.4
1997-08-01,5.54,160.8
1997-09-01,5.54,161.2
1997-10-01,5.5,161.5
1997-11-01,5.52,161.7
1997-12-01,5.5,161.8
1998-01-01,5.56,162.0
1998-02-01,5.51,162.0
1998-03-01,5.49,162.0
1998-04-01,5.45,162.2
1998-05-01,5.49,162.6
1998-06-01,5.56,162.8
1998-07-01,5.54,163.2
1998-08-01,5.55,163.4
1998-09-01,5.51,163.5
1998-10-01,5.07,163.9
1998-11-01,4.83,164.1
1998-12-01,4.68,164.4
1999-01-01,4.63,164.7
1999-02-01,4.76,164.7
1999-03-01,4.81,164.8
1999-04-01,4.74,165.9
1999-05-01,4.74,166.0
1999-06-01,4.76,166.0
1999-07-01,4.99,166.7
1999-08-01,5.07,167.1
1999-09-01,5.22,167.8
1999-10-01,5.2,168.1
1999-11-01,5.42,168.4
1999-12-01,5.3,168.8
2000-01-01,5.45,169.3
2000-02-01,5.73,170.0
2000-03-01,5.85,171.0
2000-04-01,6.02,170.9
2000-05-01,6.27,171.2
2000-06-01,6.53,172.2
2000-07-01,6.54,172.7
2000-08-01,6.5,172.7
2000-09-01,6.52,173.6
2000-10-01,6.51,173.9
2000-11-01,6.51,174.2
2000-12-01,6.4,174.6
2001-01-01,5.98,175.6
2001-02-01,5.49,176.0
2001-03-01,5.31,176.1
2001-04-01,4.8,176.4
2001-05-01,4.21,177.3
2001-06-01,3.97,177.7
2001-07-01,3.77,177.4
2001-08-01,3.65,177.4
2001-09-01,3.07,178.1
2001-10-01,2.49,177.6
2001-11-01,2.09,177.5
2001-12-01,1.82,177.4
2002-01-01,1.73,177.7
2002-02-01,1.74,178.0
2002-03-01,1.73,178.5
2002-04-01,1.75,179.3
2002-05-01,1.75,179.5
2002-06-01,1.75,179.6
2002-07-01,1.73,180.0
2002-08-01,1.74,180.5
2002-09-01,1.75,180.8
2002-10-01,1.75,181.2
2002-11-01,1.34,181.5
2002-12-01,1.24,181.8
2003-01-01,1.24,182.6
2003-02-01,1.26,183.6
2003-03-01,1.25,183.9
2003-04-01,1.26,183.2
2003-05-01,1.26,182.9
2003-06-01,1.22,183.1
2003-07-01,1.01,183.7
2003-08-01,1.03,184.5
2003-09-01,1.01,185.1
2003-10-01,1.01,184.9
2003-11-01,1.0,185.0
2003-12-01,0.98,185.5
2004-01-01,1.0,186.3
2004-02-01,1.01,186.7
2004-03-01,1.0,187.1
2004-04-01,1.0,187.4
2004-05-01,1.0,188.2
2004-06-01,1.03,188.9
2004-07-01,1.26,189.1
2004-08-01,1.43,189.2
2004-09-01,1.61,189.8
2004-10-01,1.76,190.8
2004-11-01,1.93,191.7
2004-12-01,2.16,191.7
2005-01-01,2.28,191.6
2005-02-01,2.5,192.4
2005-03-01,2.63,193.1
2005-04-01,2.79,193.7
2005-05-01,3.0,193.6
2005-06-01,3.04,193.7
2005-07-01,3.26,194.9
2005-08-01,3.5,196.1
2005-09-01,3.62,198.8
2005-10-01,3.78,199.1
2005-11-01,4.0,198.1
2005-12-01,4.16,198.1
2006-01-01,4.29,199.3
2006-02-01,4.49,199.4
2006-03-01,4.59,199.7
2006-04-01,4.79,200.7
2006-05-01,4.94,201.3
2006-06-01,4.99,201.8
2006-07-01,5.24,202.9
2006-08-01,5.25,203.8
2006-09-01,5.25,202.8
2006-10-01,5.25,201.9
2006-11-01,5.25,202.0
2006-12-01,5.24,203.1
2007-01-01,5.25,203.437
2007-02-01,5.26,204.226
2007-03-01,5.26,205.288
2007-04-01,5.25,205.904
2007-05-01,5.25,206.755
2007-06-01,5.25,207.234
2007-07-01,5.26,207.603
2007-08-01,5.02,207.667
2007-09-01,4.94,208.547
2007-10-01,4.76,209.19
2007-11-01,4.49,210.834
2007-12-01,4.24,211.445
2008-01-01,3.94,212.174
2008-02-01,2.98,212.687
2008-03-01,2.61,213.448
2008-04-01,2.28,213.942
2008-05-01,1.98,215.208
2008-06-01,2.0,217.463
2008-07-01,2.01,219.016
2008-08-01,2.0,218.69
2008-09-01,1.81,218.877
2008-10-01,0.97,216.995
2008-11-01,0.39,213.153
2008-12-01,0.16,211.398
2009-01-01,0.15,211.933
2009-02-01,0.22,212.705
2009-03-01,0.18,212.495
2009-04-01,0.15,212.709
2009-05-01,0.18,213.022
2009-06-01,0.21,214.79
2009-07-01,0.16,214.726
2009-08-01,0.16,215.445
2009-09-01,0.15,215.861
2009-10-01,0.12,216.509
2009-11-01,0.12,217.234
2009-12-01,0.12,217.347
2010-01-01,0.11,217.488
2010-02-01,0.13,217.281
2010-03-01,0.16,217.353
2010-04-01,0.2,217.403
2010-05-01,0.2,217.29
2010-06-01,0.18,217.199
2010-07-01,0.18,217.605
2010-08-01,0.19,217.923
2010-09-01,0.19,218.275
2010-10-01,0.19,219.035
2010-11-01,0.19,219.59
2010-12-01,0.18,220.472
2011-01-01,0.17,221.187
2011-02-01,0.16,221.898
2011-03-01,0.14,223.046
2011-04-01,0.1,224.093
2011-05-01,0.09,224.806
2011-06-01,0.09,224.806
2011-07-01,0.07,225.395
2011-08-01,0.1,226.106
2011-09-01,0.08,226.597
2011-10-01,0.07,226.75
2011-11-01,0.08,227.169
2011-12-01,0.07,227.223
2012-01-01,0.08,227.842
2012-02-01,0.1,228.329
2012-03-01,0.13,228.807
2012-04-01,0.14,229.187
2012-05-01,0.16,228.713
2012-06-01,0.16,228.524
2012-07-01,0.16,228.59
2012-08-01,0.13,229.918
2012-09-01,0.14,231.015
2012-10-01,0.16,231.638
2012-11-01,0.16,231.249
2012-12-01,0.16,231.221
2013-01-01,0.14,231.679
2013-02-01,0.15,232.937
2013-03-01,0.14,232.282
2013-04-01,0.15,231.797
2013-05-01,0.11,231.893
2013-06-01,0.09,232.445
2013-07-01,0.09,232.9
2013-08-01,0.08,233.456
2013-09-01,0.08,233.544
2013-10-01,0.09,233.669
2013-11-01,0.08,234.1
2013-12-01,0.09,234.719
2014-01-01,0.07,235.288
2014-02-01,0.07,235.547
2014-03-01,0.08,236.028
2014-04-01,0.09,236.468
2014-05-01,0.09,236.918
2014-06-01,0.1,237.231
2014-07-01,0.09,237.498
2014-08-01,0.09,237.46
2014-09-01,0.09,237.477
2014-10-01,0.09,237.43
2014-11-01,0.09,236.983
2014-12-01,0.12,236.252
2015-01-01,0.11,234.747
2015-02-01,0.11,235.342
2015-03-01,0.11,235.976
2015-04-01,0.12,236.222
2015-05-01,0.12,237.001
2015-06-01,0.13,237.657
2015-07-01,0.13,238.034
2015-08-01,0.14,238.033
2015-09-01,0.14,237.498
2015-10-01,0.12,237.733
2015-11-01,0.12,238.017
2015-12-01,0.24,237.761
2016-01-01,0.34,237.652
2016-02-01,0.38,237.336
2016-03-01,0.36,238.08
2016-04-01,0.37,238.992
2016-05-01,0.37,239.557
2016-06-01,0.38,240.222
2016-07-01,0.39,240.101
2016-08-01,0.4,240.545
2016-09-01,0.4,241.176
2016-10-01,0.4,241.741
2016-11-01,0.41,242.026
2016-12-01,0.54,242.637
2017-01-01,0.65,243.618
2017-02-01,0.66,244.006
2017-03-01,0.79,243.892
2017-04-01,0.9,244.193
2017-05-01,0.91,244.004
2017-06-01,1.04,244.163
2017-07-01,1.15,244.243
2017-08-01,1.16,245.183
2017-09-01,1.15,246.435
2017-10-01,1.15,246.626
2017-11-01,1.16,247.284
2017-12-01,1.3,247.805
2018-01-01,1.41,248.859
2018-02-01,1.42,249.529
2018-03-01,1.51,249.577
2018-04-01,1.69,250.227
2018-05-01,1.7,250.792
2018-06-01,1.82,251.018
2018-07-01,1.91,251.214
2018-08-01,1.91,251.663
2018-09-01,1.95,252.182
2018-10-01,2.19,252.772
2018-11-01,2.2,252.594
2018-12-01,2.27,252.767
2019-01-01,2.4,252.561
2019-02-01,2.4,253.319
2019-03-01,2.41,254.277
2019-04-01,2.42,255.233
2019-05-01,2.39,255.296
2019-06-01,2.38,255.213
2019-07-01,2.4,255.802
2019-08-01,2.13,256.036
2019-09-01,2.04,256.43
2019-10-01,1.83,257.155
2019-11-01,1.55,257.879
2019-12-01,1.55,258.63
2020-01-01,1.55,258.906
2020-02-01,1.58,259.246
2020-03-01,0.65,258.15
2020-04-01,0.05,256.126
2020-05-01,0.05,255.848
2020-06-01,0.08,257.004
2020-07-01,0.09,258.408
2020-08-01,0.1,259.366
2020-09-01,0.09,259.951
2020-10-01,0.09,260.249
2020-11-01,0.09,260.895
2020-12-01,0.09,262.005
2021-01-01,0.09,262.518
2021-02-01,0.08,263.583
2021-03-01,0.07,264.91
2021-04-01,0.07,266.752
2021-05-01,0.06,268.452
2021-06-01,0.08,270.664
2021-07-01,0.1,271.994
2021-08-01,0.09,272.789
2021-09-01,0.08,273.887
2021-10-01,0.08,276.434
2021-11-01,0.08,278.799
2021-12-01,0.08,280.808
2022-01-01,0.08,282.39
2022-02-01,0.08,284.535
2022-03-01,0.2,287.553
2022-04-01,0.33,288.764
2022-05-01,0.77,291.359
2022-06-01,1.21,294.996
2022-07-01,1.68,294.977
2022-08-01,2.33,295.209
2022-09-01,2.56,296.341
2022-10-01,3.08,297.863
2022-11-01,3.78,298.648
2022-12-01,4.1,298.812
2023-01-01,4.33,300.356
2023-02-01,4.57,301.509
2023-03-01,4.65,301.744
2023-04-01,4.83,303.032
2023-05-01,5.06,303.365
2023-06-01,5.08,304.003
2023-07-01,5.12,304.628
2023-08-01,5.33,306.187
2023-09-01,5.33,307.288
2023-10-01,5.33,307.531
2023-11-01,5.33,308.024
2023-12-01,5.33,308.742
2024-01-01,5.33,309.685
2024-02-01,5.33,311.054
2024-03-01,5.33,312.23
2024-04-01,5.33,313.207
2024-05-01,5.33,313.225
2024-06-01,5.33,313.049
2024-07-01,5.33,313.534
2024-08-01,5.33,314.121
2024-09-01,5.13,314.686
2024-10-01,4.83,315.454
2024-11-01,4.64,316.441
2024-12-01,4.48,317.685
2025-01-01,4.33,
